GATE_ID_PY_L,GATE_ID_L,GATE_ID_R,INTERGATE_DISTANCES_CM,GATE_DISTANCES_CM_L,GATE_DISTANCES_CM_R
1,Gate00,Gate14,0,0,64.61
2,Gate01,Gate13,2.57,2.57,62.6
4,Gate02,Gate12,4.76,7.33,57.51
5,Gate03,Gate11,5.14,12.47,52.69
6,Gate04,Gate10,4.84,17.31,47.71
7,Gate05,Gate09,5.22,22.53,42.42
8,Gate06,Gate08,4.81,27.34,37.34
9,Gate07,Gate07,5.02,32.36,32.36
10,Gate08,Gate06,4.98,37.34,27.34
11,Gate09,Gate05,5.08,42.42,22.53
12,Gate10,Gate04,5.29,47.71,17.31
13,Gate11,Gate03,4.98,52.69,12.47
14,Gate12,Gate02,4.82,57.51,7.33
16,Gate13,Gate01,5.09,62.6,2.57
17,Gate14,Gate00,2.01,64.61,0