TagID_Hex,Time_in_ana,Time_out_anac,Weight,Length,Scales,Fins,Eyes,Ad_Clip,Time_out_surgery,Bleeding,Time_recovered,Surgeon,Data_Rec,Rel_group,HT_Temp,HT_DO,SB_Temp,SB_DO,Notes,DateTagged,Tag_placement,Tank Number,OrderID,Mort24hr
JH01,09:43:25,09:44:41,2.21,69,g,g,g,,09:46:37,,,JH,AK,C,12,,12,,Surgery and timing test,2023-12-11,,,554,N
JH02,09:50:32,09:52:36,1.08,58,g,g,g,,09:53:54,,09:55:36,JH,AK,C,12,,12,,Major Flop,2023-12-11,,,555,N
JH03,09:57:29,09:59:11,1.92,68,g,g,g,,10:00:09,,10:04:30,JH,AK,C,12,,12,,,2023-12-11,,,556,N
06FC,10:15:49,10:17:27,3.49,72,g,g,g,,10:19:00,,10:20:37,JH,AK,L,12,,12,,,2023-12-11,TA,8,557,N
016F,10:19:30,10:21:00,2.19,70,g,g,g,,10:22:18,,10:24:58,JH,AK,L,12,,12,,,2023-12-11,TA,8,558,N
18,10:27:46,10:29:44,2.44,71,g,g,g,,10:31:19,,10:33:06,JH,AK,L,12,,12,,,2023-12-11,TA,8,559,N
073D,10:30:21,10:32:00,2.95,73,g,g,g,,10:33:14,,10:34:56,JH,AK,L,12,,12,,Floppy fish,2023-12-11,TA,8,560,N
003A,10:37:05,10:38:46,3.07,74,g,g,g,,10:40:42,,10:41:09,JH,AK,V,12,,12,,Floppy,2023-12-11,TA,9,561,N
191,10:41:53,10:43:23,2.63,70,g,g,g,,10:44:27,,10:46:31,JH,AK,V,12,,12,,"floppy, white stuff came out",2023-12-11,TA,9,562,N
677,10:47:52,10:49:35,3.78,79,G,G,G,,10:50:44,,10:52:06,JH,AK,V,12,,12,,,2023-12-11,TA,9,563,N
223,11:04:04,11:05:37,4.29,80,g,g,g,,11:06:46,,11:09:31,JH,AK,L,12,,12,,Big Floppy,2023-12-11,TA,8,564,N
55,11:06:05,11:07:55,2.69,75,g,g,g,,11:09:05,1,11:10:40,JH,AK,L,12,,12,,,2023-12-11,TA,8,565,N
012E,11:09:59,11:11:41,2.56,70,g,g,g,,11:12:40,,11:16:55,JH,AK,L,12,,12,,,2023-12-11,TA,8,566,N
038C,11:23:31,11:25:10,2.66,74,g,g,g,,11:26:18,,11:26:58,JH,AK,L,12,,12,,2 flops,2023-12-11,TA,8,567,N
560,11:25:33,11:27:07,4.48,85,g,g,g,,11:28:12,,11:30:15,JH,AK,L,12,,12,,,2023-12-11,TA,8,568,N
035D,11:33:48,11:35:23,2.95,78,g,g,g,,11:36:27,,11:39:09,JH,AK,V,12,,12,,Flop,2023-12-11,TA,9,569,N
533,11:36:06,11:37:52,2.33,70,g,g,g,,11:38:52,,11:41:40,JH,AK,V,12,,12,,,2023-12-11,TA,9,570,N
027A,11:38:00,11:39:51,4.59,80,g,g,g,,11:40:42,,11:44:10,JH,AK,V,12,,12,,"3 Flop, split",2023-12-11,TA,9,571,N
001D,11:40:03,11:41:43,1.99,96,g,g,g,,11:42:52,,11:43:50,JH,AK,V,12,,12,,,2023-12-11,TA,9,572,N
02D0,11:42:01,11:43:52,3.01,75,g,g,g,,11:44:48,,11:47:08,JH,AK,V,12,,12,,Operculum marginal,2023-12-11,TA,9,573,N
061C,11:45:27,11:46:59,2.87,75,g,g,g,,11:47:59,1,11:52:30,JH,AK,L,12,,12,,,2023-12-11,TA,8,574,N
216,11:49:33,11:51:20,3.21,75,g,g,g,,11:52:28,,11:55:54,JH,AK,L,12,,12,,,2023-12-11,TA,8,575,N
02C2,11:51:28,11:53:18,3.56,78,g,g,g,,11:54:25,,11:57:08,JH,AK,L,12,,12,,2 flop,2023-12-11,TA,8,576,N
06B3,11:53:30,11:55:19,3.86,81,g,g,g,,11:56:10,,11:58:15,JH,AK,L,12,,12,,,2023-12-11,TA,8,577,N
448,11:58:31,12:00:10,2.08,69,g,g,g,,12:01:33,,12:01:47,JH,AK,V,12,,12,,,2023-12-11,TA,9,578,N
392,12:00:28,12:02:13,3.18,75,g,g,g,,12:03:21,,12:07:15,JH,AK,V,12,,12,,flop,2023-12-11,TA,9,579,N
036E,12:06:00,12:07:35,2.89,72,g,g,g,,12:08:43,,12:10:54,JH,AK,V,12,,12,,Big flop,2023-12-11,TA,9,580,N
116,12:07:40,12:09:34,3.64,75,g,g,g,,12:10:45,,12:13:24,JH,AK,V,12,,12,,,2023-12-11,TA,9,581,N
315,12:09:30,12:11:28,2.69,70,g,g,g,,12:12:18,,12:15:48,JH,AK,V,12,,12,,,2023-12-11,TA,9,582,N
395,12:11:40,12:13:29,3.97,79,g,g,g,,12:14:16,,12:16:37,JH,AK,V,12,,12,,,2023-12-11,TA,9,583,N
03F2,12:13:36,12:15:11,2.69,72,g,g,g,,12:16:12,,12:18:49,JH,AK,V,12,,12,,Last to tank 9,2023-12-11,TA,9,584,N
033E,12:18:40,12:20:24,3.43,79,g,g,g,,12:21:15,,12:22:23,JH,AK,L,12,,12,,Last to tank 8,2023-12-11,TA,8,585,N
0E00,12:48:58,12:50:43,2.91,75,g,g,g,,12:51:46,,12:43:03,JH,AK,L,12,,12,,"To tank 11, Flopped",2023-12-11,TA,11,586,N
02FA,12:52:51,12:54:28,2.03,65,g,g,g,,12:55:35,1,12:58:03,JH,AK,L,12,,12,,,2023-12-11,TA,11,587,N
260,12:54:38,12:56:13,2.45,70,g,g,g,,12:56:58,,13:02:40,JH,AK,L,12,,12,,,2023-12-11,TA,11,588,N
02C7,12:56:30,12:58:06,2.45,70,g,g,g,,12:59:44,,12:58:16,JH,AK,V,12,,12,,To tank 12,2023-12-11,TA,12,589,N
07C8,12:58:56,13:00:31,3.43,77,g,g,g,,13:01:36,,13:04:05,JH,AK,V,12,,12,,,2023-12-11,TA,12,590,N
02CA,13:02:53,13:04:38,3.17,75,g,g,g,,13:05:38,,13:06:09,JH,AK,V,12,,12,,,2023-12-11,TA,12,591,N
002A,13:05:14,13:06:33,2.51,72,g,g,g,,13:07:28,,13:07:56,JH,AK,V,12,,12,,,2023-12-11,TA,12,592,N
376,13:22:24,13:24:16,2.46,70,g,g,g,,13:25:13,,13:28:56,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,593,N
01F4,13:26:14,13:27:48,3.21,75,g,g,g,,13:28:39,,13:30:37,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,594,N
257,13:28:13,13:29:47,2.32,74,g,g,g,,13:30:51,,13:32:53,JH,AK,L,12.3,,12,,Some white discharge,2023-12-11,TA,11,595,N
68,13:30:10,13:31:46,2.17,68,g,g,g,,13:32:39,,13:35:03,JH,AK,L,12.3,,12,,Some white discharge,2023-12-11,TA,11,596,N
615,13:32:09,13:33:41,5.06,84,g,g,g,,13:34:30,,13:36:00,JH,AK,L,12.3,,12,,Flopped twice,2023-12-11,TA,11,597,N
269,13:34:13,13:35:44,2.58,73,g,g,g,,13:36:30,,13:39:34,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,598,N
612,13:36:08,13:37:41,2.29,69,g,g,g,,13:38:31,,13:40:31,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,599,N
00B7,13:38:03,13:39:37,2.21,68,g,g,g,,13:40:41,,13:42:40,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,600,N
200,13:39:53,13:41:27,2.51,70,g,g,g,,13:42:20,,13:46:06,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,601,N
3E02,13:41:41,13:43:15,2.4,69,g,g,g,,13:44:14,,13:48:04,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,602,N
015F,13:43:17,13:44:57,4.68,84,g,g,g,,13:45:40,,13:49:24,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,603,N
010D,13:45:03,13:46:43,2.07,68,g,g,g,,13:47:31,,13:51:34,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,604,N
51,13:46:47,13:48:21,3.3,76,g,g,g,,13:49:06,,13:53:05,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,605,N
04EE,13:48:48,13:50:25,3.51,75,g,f,g,,13:51:13,,13:53:08,JH,AK,L,12.3,,12,,Ragged caudal,2023-12-11,TA,11,606,N
247,13:57:01,13:58:50,2.09,69,g,g,g,,14:00:11,,14:02:34,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,607,N
021C,13:59:00,14:00:54,3.47,78,g,g,g,,14:01:44,,14:04:42,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,608,N
259,14:00:57,14:02:29,2.44,71,g,g,g,,14:03:17,,14:04:51,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,609,N
07A0,14:08:01,14:09:32,2.91,81,g,g,g,,14:10:22,,14:11:36,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,610,N
017E,14:12:40,14:14:15,2.49,72,g,g,g,,14:15:03,,14:16:37,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,611,N
142,14:14:58,14:16:31,3.36,74,g,g,g,,14:17:17,,14:18:20,JH,AK,L,12.3,,12,,,2023-12-11,TA,11,612,N
773,14:20:58,14:22:41,2.31,70,g,g,g,,14:23:41,,14:25:37,JH,AK,V,12.3,,12,,,2023-12-11,TA,12,613,N
EC01,09:43:04,09:45:13,,,,,,,09:45:46,,09:48:42,EC,RW,C,12,,12,,TEST,2023-12-11,,,614,N
EC02,09:50:26,09:52:53,,,,,,,09:53:48,,09:55:40,EC,RW,C,12,,12,,TEST,2023-12-11,,,615,N
EC03,09:57:31,09:59:03,,,,,,,09:59:52,,10:01:25,EC,RW,C,12,,12,,TEST,2023-12-11,,,616,N
EC04,09:57:31,09:59:58,,,,,,,10:00:00,,10:02:17,EC,RW,C,12,,12,,TEST,2023-12-11,,,617,N
378,10:17:57,10:19:27,3.74,71,G,G,G,,10:20:21,,10:22:49,EC,RW,L,12,,12,,,2023-12-11,TA,9,618,N
03DB,10:20:20,10:21:52,2.49,69,G,F,G,,10:22:54,,10:24:21,EC,RW,L,12,,12,,,2023-12-11,TA,9,619,N
158,10:23:07,10:24:40,3.05,78,G,G,G,,10:25:48,,10:26:59,EC,RW,L,12,,12,,3 FLOPS,2023-12-11,TA,9,620,N
491,10:25:01,10:26:36,2.45,70,G,G,G,,10:27:49,,10:29:41,EC,RW,L,12,,12,,,2023-12-11,TA,9,621,N
229,10:27:50,10:29:30,2.31,67,G,G,G,,10:30:28,,10:35:13,EC,RW,L,12,,12,,"EXPECTED BRUISING, DIFFICULT TAG ENTRY",2023-12-11,TA,9,622,N
22,10:41:51,10:43:28,4.34,80,G,G,G,,10:44:22,,10:46:00,EC,RW,V,12,,12,,,2023-12-11,TA,8,623,N
05DD,10:50:17,10:51:48,3.32,75,G,G,G,,10:52:37,,10:54:03,EC,RW,V,12,,12,,2 FLOPS,2023-12-11,TA,8,624,N
06D0,10:52:02,10:53:35,4.33,80,G,G,G,,10:54:40,,10:55:12,EC,RW,V,12,,12,,2 FLOPS,2023-12-11,TA,8,625,N
02D3,11:04:00,11:05:35,2.65,71,G,G,G,,11:06:39,,11:07:35,EC,RW,L,12,,12,,,2023-12-11,TA,9,626,N
02D6,11:09:56,11:11:30,2.94,75,G,G,G,,11:12:53,,11:14:55,EC,RW,L,12,,12,,5 FLOPS,2023-12-11,TA,9,627,N
76,11:23:31,11:25:06,3.58,80,G,G,G,,11:25:54,,11:27:30,EC,RW,L,12,,12,,,2023-12-11,TA,9,628,N
112,11:29:37,11:31:11,2.87,73,G,G,G,,11:32:24,,11:33:47,EC,RW,L,12,,12,,1 FLOP,2023-12-11,TA,9,629,N
1E09,11:31:55,11:33:34,2.34,69,G,G,G,,11:34:29,,11:35:20,EC,RW,L,12,,12,,,2023-12-11,TA,9,630,N
534,11:33:51,11:35:27,4.5,83,G,G,G,,11:36:29,,11:38:30,EC,RW,V,12,,12,,,2023-12-11,TA,8,631,N
03D2,11:36:04,11:37:57,2.69,73,G,G,G,,11:39:02,,11:43:03,EC,RW,V,12,,12,,,2023-12-11,TA,8,632,N
060E,11:38:00,11:39:51,4.4,77,G,G,G,,11:40:36,,11:42:59,EC,RW,V,12,,12,,"2 FLOPS, SPLIT BELLY",2023-12-11,TA,8,633,N
016D,11:40:03,11:41:43,4.08,80,G,F,G,,11:42:44,,11:43:22,EC,RW,V,12,,12,,SPLIT BELLY,2023-12-11,TA,8,634,N
013F,11:42:00,11:43:40,2.04,65,G,G,G,,11:44:52,,11:45:19,EC,RW,V,12,,12,,1 FLOP,2023-12-11,TA,8,635,N
02B9,11:45:23,11:47:13,2.64,70,G,G,G,,11:48:22,,11:52:10,EC,RW,L,12,,12,,2 FLOPS,2023-12-11,TA,9,636,N
02FC,11:49:33,11:51:08,2.94,69,G,G,G,,11:52:25,,11:55:11,EC,RW,L,12,,12,,,2023-12-11,TA,9,637,N
776,11:51:28,11:53:15,4.97,84,G,G,G,,11:54:11,,11:55:25,EC,RW,L,12,,12,,2 FLOPS,2023-12-11,TA,9,638,N
183,11:53:32,11:55:22,2.4,67,G,G,G,,11:56:28,,12:00:26,EC,RW,L,12,,12,,,2023-12-11,TA,9,639,N
00F1,11:55:39,11:57:10,1.96,65,G,G,G,,11:58:05,,12:00:27,EC,RW,L,12,,12,,,2023-12-11,TA,9,640,N
013D,12:03:43,12:05:18,2.57,71,G,F,G,,12:06:39,,12:07:03,EC,RW,V,12,,12,,"3 FLOPS, FAIR CAUDLE FIN",2023-12-11,TA,8,641,N
69,12:05:59,12:07:46,3.08,78,G,G,G,,12:08:29,,12:10:03,EC,RW,V,12,,12,,,2023-12-11,TA,8,642,N
110,12:07:44,12:09:15,5.03,80,G,G,G,,12:10:01,,12:11:26,EC,RW,V,12,,12,,SPLIT,2023-12-11,TA,8,643,N
015C,12:09:20,12:10:51,4.38,80,G,G,G,,12:11:35,,12:12:21,EC,RW,V,12,,12,,SPLIT,2023-12-11,TA,8,644,N
069C,12:11:38,12:13:16,4.1,78,G,G,G,,12:14:00,,12:15:51,EC,RW,V,12,,12,,SPLIT,2023-12-11,TA,8,645,N
03CF,12:13:36,12:15:09,2.25,69,G,G,G,,12:15:53,,12:17:55,EC,RW,V,12,,12,,,2023-12-11,TA,8,646,N
034C,12:16:42,12:18:24,2.18,67,G,G,G,,12:19:21,,12:21:40,EC,RW,L,12,,12,,,2023-12-11,TA,9,647,N
716,12:52:47,12:54:20,4.04,78,G,G,G,,12:55:02,,12:58:00,EC,RW,L,12,,12,,1 FLOP,2023-12-11,TA,11,648,N
159,12:54:37,12:56:11,2.45,66,G,G,G,,12:57:08,,12:58:11,EC,RW,L,12,,12,,,2023-12-11,TA,11,649,N
232,12:56:26,12:58:13,5.24,81,G,G,G,,12:59:15,,13:00:55,EC,RW,L,12,,12,,4 FLOPS,2023-12-11,TA,11,650,N
06CB,12:58:56,13:00:33,2.41,67,G,G,G,,13:01:21,,13:02:28,EC,RW,V,12,,12,,SOFT BELLY,2023-12-11,TA,12,651,N
006F,13:01:05,13:02:40,2.75,76,G,G,G,,13:03:37,,13:04:34,EC,RW,V,12,,12,,SOFT BELLY,2023-12-11,TA,12,652,N
01CB,13:02:53,13:04:39,2.38,70,G,G,G,,13:05:18,,13:08:05,EC,RW,V,12,,12,,,2023-12-11,TA,12,653,N
01A0,13:07:06,13:08:44,1.9,66,G,G,G,,13:09:42,,13:10:20,EC,RW,V,12,,12,,SKINNY,2023-12-11,TA,12,654,N
207,13:24:22,13:26:06,3.91,78,G,G,G,,13:27:09,,13:30:53,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,655,N
02B5,13:26:11,13:27:51,2.72,72,G,G,G,,13:28:45,,13:31:41,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,656,N
03D4,13:30:12,13:31:47,3.48,78,G,G,G,,13:32:45,,13:34:22,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,657,N
141,13:32:09,13:33:42,2.31,69,G,G,G,,13:34:40,,13:36:20,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,658,N
002C,13:38:02,13:39:38,3.59,75,G,G,G,,13:40:14,,13:40:53,EC,RW,V,12.3,,12,,SPLIT,2023-12-11,TA,12,659,N
346,13:41:40,13:43:23,1.9,67,G,G,G,,13:44:13,,13:46:01,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,660,N
155,13:43:18,13:44:58,3.85,75,G,G,G,,13:45:37,,13:47:11,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,661,N
365,13:45:03,13:46:34,2.08,67,G,G,G,,13:48:03,,13:48:56,EC,RW,V,12.3,,12,,CAN SEE TAG POST SURGERY,2023-12-11,TA,12,662,N
304,13:46:45,13:48:32,2.56,70,G,G,G,,13:49:25,,13:50:43,EC,RW,L,12.3,,12,,MILT,2023-12-11,TA,11,663,N
358,13:48:51,13:50:24,2.95,77,G,G,G,,13:51:28,,13:52:06,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,664,N
02F2,13:50:35,13:52:13,2.76,70,G,G,G,,13:53:08,,13:56:59,EC,RW,L,12.3,,12,,HIT A RIB,2023-12-11,TA,11,665,N
311,13:52:55,13:54:34,2.54,70,G,G,G,,13:55:32,,13:57:47,EC,RW,L,12.3,,12,,FAIR INCISION,2023-12-11,TA,11,666,N
368,13:54:42,13:56:16,3.43,77,G,G,G,,13:57:02,,14:01:52,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,667,N
011B,13:57:00,13:58:49,3.89,77,G,F,G,,13:59:40,,14:01:53,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,668,N
360,13:59:00,14:00:33,5.07,82,G,G,G,,14:01:17,,14:02:08,EC,RW,V,12.3,,12,,2 FLOPS,2023-12-11,TA,12,669,N
85,14:00:58,14:02:41,3.38,75,G,F,G,,14:03:30,,14:04:38,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,670,N
05D8,14:05:01,14:06:38,2.77,70,G,G,G,,14:07:19,,14:08:54,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,671,N
355,14:06:49,14:08:31,2.41,70,G,G,G,,14:09:20,,14:12:10,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,672,N
003E,14:12:41,14:14:14,2.04,67,G,G,G,,14:15:03,,14:16:23,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,673,N
02C1,14:14:56,14:16:31,4.7,82,G,G,G,,14:17:33,,14:19:55,EC,RW,L,12.3,,12,,,2023-12-11,TA,11,674,N
495,14:16:51,14:18:29,1.84,65,G,G,G,,14:19:13,,14:21:16,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,675,N
001C,14:18:53,14:20:31,2.68,73,G,G,G,,14:21:26,,14:22:13,EC,RW,V,12.3,,12,,,2023-12-11,TA,12,676,N
796,09:34:33,09:36:18,2.94,75,g,g,g,,09:37:36,,09:41:24,JH,AK,L,12.1,,12,,Very floppy,2023-12-13,TA,2,677,N
026A,09:36:29,09:38:18,2.04,69,g,g,g,,09:39:13,,09:41:34,JH,AK,L,12.1,,12,,Flop,2023-12-13,TA,2,678,N
036C,09:38:29,09:40:12,4.64,83,g,g,g,,09:41:16,,09:43:01,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,679,N
06EE,09:40:24,09:42:00,2.32,75,g,g,g,,09:42:47,,09:44:30,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,680,N
52,09:42:13,09:43:45,2.7,74,g,g,g,,09:44:53,,09:48:03,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,681,N
02D2,09:43:54,09:45:37,2.77,75,g,g,g,,09:46:36,,09:49:55,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,682,N
623,09:45:56,09:47:33,3.11,73,g,g,g,,09:48:15,,09:51:05,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,683,N
106D,09:47:46,09:49:21,2.3,70,g,g,g,,09:50:49,,09:54:42,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,684,N
04D2,09:49:39,09:51:25,1.81,69,g,f,g,,09:52:56,,09:58:23,JH,AK,L,12.1,,12,,ragged caudal,2023-12-13,TA,2,685,N
140,09:55:19,09:56:51,3,75,g,g,g,,09:57:48,,09:59:50,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,686,N
160,09:57:07,09:58:42,3.66,78,g,g,g,,09:59:27,,10:01:31,JH,AK,L,12.1,,12,,2 flop,2023-12-13,TA,2,687,N
344,09:58:57,10:00:31,3.3,80,g,g,g,,10:01:29,,10:02:45,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,688,N
258,10:00:53,10:02:43,2.04,70,g,f,g,,10:03:39,,10:08:45,JH,AK,V,12.1,,12,,Ragged caudal,2023-12-13,TA,3,689,N
05AD,10:06:15,10:07:54,2.21,68,g,f,g,,10:08:50,,10:11:33,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,690,N
249,10:08:07,10:09:52,2.59,74,g,g,g,,10:10:41,,10:14:30,JH,AK,V,12.1,,12,,,2023-12-13,TA,3,691,N
330,10:09:54,10:11:31,1.78,69,g,g,g,,10:13:02,,10:15:45,JH,AK,V,12.1,,12,,Flopped,2023-12-13,TA,3,692,N
00CB,10:13:44,10:15:19,2.57,74,g,g,g,,10:16:26,,10:19:40,JH,AK,L,12.1,,12,,Flopper,2023-12-13,TA,2,693,N
009A,10:15:31,10:17:10,3.7,77,g,g,g,,10:17:57,,10:20:05,JH,AK,L,12.1,,12,,,2023-12-13,TA,2,694,N
219,10:17:22,10:19:10,4.11,82,g,g,g,,10:20:17,,10:22:08,JH,AK,L,12.1,,12,,Floppy,2023-12-13,TA,2,695,N
