trialdate,trialID,treatment,sex,fl_mm,mass_g,eggStage,tagID,necroDate,notes,staff
8/14/23,1,hc,f,85,5,1,n/a,8/29/23,,ES
8/14/23,2,ls,f,86,4.5,2,n/a,8/29/23,,ES
8/14/23,3,fc,m,74,2.9,,n/a,8/29/23,,ES
8/14/23,4,vs,f,92,7.5,3,n/a,8/29/23,,ES
8/14/23,5,vs,f,87,3.6,0,n/a,8/29/23,pos post spawn,ES
8/14/23,6,vt,f,86,4.3,1,046f,8/29/23,pos post spawn,ES
8/14/23,7,lt,f,82,4.2,1,772,8/29/23,,ES
8/14/23,8,ls,m,75,3,,n/a,8/29/23,,ES
8/14/23,9,ls,m,77,2.4,,n/a,8/29/23,,ES
8/14/23,10,fc,f,82,4,1,n/a,8/29/23,pos post spawn,ES
8/14/23,11,hc,m,81,3.4,,n/a,8/29/23,,ES
8/14/23,12,lt,f,89,4.9,1,07A9,8/29/23,pos post spawn,ES
8/14/23,13,lt,f,77,3.4,1,060E,8/29/23,,ES
8/14/23,14,vt,m,80,3,,796,8/29/23,,ES
8/14/23,15,fc,f,77,3.2,1,n/a,8/29/23,,ES
8/14/23,16,hc,f,84,4.1,2,n/a,8/29/23,,ES
8/15/23,17,ls,f,70,2.9,0,n/a,8/29/23,,ES
8/15/23,18,ls,f,70,2.6,0,n/a,8/29/23,,ES
8/15/23,19,fc,f,82,3.3,1,n/a,8/29/23,,ES
8/15/23,20,vt,m,71,2.8,,01fD,8/29/23,,ES
8/15/23,21,fc,f,71,2.6,1,n/a,8/29/23,,ES
8/15/23,22,vs,f,85,4.6,1,n/a,8/29/23,,ES
8/15/23,23,lt,m,85,5,,249,8/29/23,bleed at incision,ES
8/15/23,24,hc,m,72,2.2,,n/a,8/29/23,,ES
8/15/23,25,vs,m,78,3,,n/a,8/29/23,,ES
8/15/23,26,vt,f,85,5.1,4,shed,8/29/23,possibly egg=1,ES
8/15/23,27,vs,m,79,2.7,,n/a,8/29/23,,ES
8/15/23,28,fc,f,102,5.5,4,n/a,8/29/23,possibly egg=1,ES
8/15/23,29,hc,f,97,4.6,4,n/a,8/29/23,possibly egg=1,ES
8/15/23,30,lt,f,80,3.6,0,799,8/29/23,,ES
8/15/23,31,hc,m,80,3.5,,n/a,8/29/23,,ES
8/15/23,32,vt,m,85,3.6,,shed,8/29/23,,ES
8/16/23,33,vt,f,71,2.4,0,01EA,8/31/23,,ES
8/16/23,34,ls,f,75,3.3,2,n/a,8/31/23,,ES
8/16/23,35,hc,f,80,3.2,1,n/a,8/31/23,,ES
8/16/23,36,ls,m,80,4.2,,n/a,8/31/23,,ES
8/16/23,37,vs,m,79,2.9,,n/a,8/31/23,,ES
8/16/23,38,lt,f,82,4,2,013D,8/31/23,,ES
8/16/23,39,vs,m,79,2.4,,n/a,8/31/23,A61 orange tag,ES
8/16/23,40,hc,m,68,2.1,,n/a,8/31/23,,ES
8/16/23,41,vs,m,75,2.5,,n/a,8/31/23,,ES
8/16/23,42,vt,f,68,1.8,0,03D3,8/31/23,,ES
8/16/23,43,fc,m,74,2.9,,n/a,8/31/23,,ES
8/16/23,44,ls,f,84,4.3,4,n/a,8/31/23,possibly egg=1,ES
8/16/23,45,lt,f,80,3.1,1,295,8/31/23,,ES
8/16/23,46,vt,f,78,3.4,4,031D,8/31/23,possibly egg=1,ES
8/16/23,47,lt,f,75,3,1,02AB,8/31/23,,ES
8/16/23,48,fc,f,75,3.8,2,n/a,8/31/23,,ES
8/17/23,49,hc,m,68,2.06,,n/a,8/31/23,,ES
8/17/23,50,ls,m,80,3.56,,n/a,8/31/23,,ES
8/17/23,51,fc,f,81,4.01,0,n/a,8/31/23,,ES
8/17/23,52,vs,f,93,6.33,3,n/a,8/31/23,,ES
8/17/23,53,vs,f,71,3.42,2,n/a,8/31/23,,ES
8/17/23,54,vt,f,90,5.65,1,207,8/31/23,,ES
8/17/23,55,lt,f,71,3.23,1,392,8/31/23,,ES
8/17/23,56,ls,f,81,5.37,4,n/a,8/31/23,possibly egg=1,ES
8/17/23,57,ls,f,81,4.58,1,n/a,8/31/23,,ES
8/17/23,58,fc,f,78,3.66,1,n/a,8/31/23,,ES
8/17/23,59,hc,f,77,3.9,3,n/a,8/31/23,,ES
8/17/23,60,lt,f,89,5.7,4,247,8/31/23,"seems more like 4 based on larger size, but possibly 1",ES
8/17/23,61,lt,m,68,2.5,,110,8/31/23,,ES
8/17/23,62,vt,m,71,2.5,,219,8/31/23,,ES
8/17/23,63,fc,m,77,3.4,,n/a,8/31/23,,ES
8/17/23,64,hc,m,87,4.6,,n/a,8/31/23,,ES
8/18/23,65,ls,f,87,4.4,0,n/a,8/31/23,,ES
8/18/23,66,ls,f,94,7.4,1,n/a,8/31/23,"very large/plump, no eggs; could be post spawn, so egg=4",ES
8/18/23,67,fc,f,87,6.2,2,n/a,8/31/23,egg stage onto 3,ES
8/18/23,68,vt,m,75,2.9,,07A0,8/31/23,,ES
8/18/23,69,fc,f,84,5.1,1,n/a,8/31/23,"plump, no eggs, could possibly be egg=4",ES
8/18/23,70,vs,f,84,3.99,1,n/a,8/31/23,,ES
8/18/23,71,lt,f,81,3.9,2,06fB,8/31/23,,ES
8/18/23,72,hc,m,86,4.3,,n/a,8/31/23,,ES
8/18/23,73,vs,f,83,3.7,1,n/a,8/31/23,maybe no eggs (=na?),ES
8/18/23,74,vt,m,80,3.1,,03C4,8/31/23,,ES
8/18/23,75,vs,f,85,4.4,4,n/a,8/31/23,possibly egg=1,ES
8/18/23,76,fc,m,74,3.1,,n/a,8/31/23,,ES
8/19/23,77,hc,f,76,3.8,1,n/a,8/31/23,replicated on 8/19 after original file and fish lost 8/18/23,ES
8/18/23,78,lt,m,81,4.1,,491,8/31/23,,ES
8/18/23,79,hc,m,81,3.4,,n/a,8/31/23,,ES
8/18/23,80,vt,m,73,2.6,,00f1,8/31/23,,ES
8/19/23,81,vt,f,80,4.2,1,009A,9/1/23,,ES
8/19/23,82,ls,m,74,2.7,,n/a,9/1/23,,ES
8/19/23,83,hc,m,84,4.4,,n/a,9/1/23,,ES
8/19/23,84,ls,m,74,3.5,,n/a,9/1/23,,ES
8/19/23,85,vs,m,77,3.7,,n/a,9/1/23,,ES
8/19/23,86,lt,f,88,5.5,2,038C,9/1/23,,ES
8/19/23,87,vs,f,82,4.3,2,n/a,9/1/23,,ES
8/19/23,88,fc,m,84,4.1,,n/a,9/1/23,,ES
8/19/23,89,lt,f,85,4.1,4,011B,9/1/23,possibly egg=1,ES
8/19/23,90,vt,f,91,6,4,304,9/1/23,possibly egg=1,ES
8/19/23,91,hc,m,76,3,,n/a,9/1/23,,ES
8/19/23,92,ls,m,83,3.8,,n/a,9/1/23,,ES
8/19/23,93,vs,f,83,4,1,n/a,9/1/23,,ES
8/19/23,94,vt,m,80,3.9,,06D0,9/1/23,,ES
8/19/23,95,lt,m,74,3.2,,02BE,9/1/23,,ES
8/19/23,96,fc,m,74,3.3,,n/a,9/1/23,,ES