spp,yr,expt,day_post_tag,treat_group,time_fail,sec_fail,mass_g,sex
DS,2023,3,30,fc,0:50:22,3022,2.05,m
DS,2023,3,30,fc,1:20:19,4819,1.33,f
DS,2023,3,30,fc,0:11:01,661,1.94,m
DS,2023,3,30,fc,0:46:02,2762,2.28,m
DS,2023,3,30,fc,1:01:54,3714,5.16,f
DS,2023,3,30,fc,1:59:01,7141,2.86,m
DS,2023,3,30,fc,1:58:50,7130,3.49,f
DS,2023,3,30,fc,2:24:33,8673,3.65,f
DS,2023,3,30,fc,1:49:20,6560,3.19,m
DS,2023,3,30,fc,2:13:26,8006,1.81,m
DS,2023,3,30,fc,2:09:30,7770,2.82,m
DS,2023,3,30,fc,2:22:37,8557,2.72,m
DS,2023,3,30,fc,1:36:17,5777,3.13,f
DS,2023,3,30,fc,2:06:56,7616,5.12,f
DS,2023,3,30,fc,0:21:53,1313,1.83,m
DS,2023,3,30,fc,1:29:43,5383,3.02,m
DS,2023,3,30,fc,2:04:55,7495,3.3,m
DS,2023,3,30,lt,1:16:09,4569,4.11,f
DS,2023,3,30,lt,1:17:58,4678,2.91,f
DS,2023,3,30,lt,1:28:22,5302,3.18,f
DS,2023,3,30,lt,1:29:39,5379,2.66,m
DS,2023,3,30,lt,0:48:12,2892,2.3,f
DS,2023,3,30,lt,2:05:18,7518,4.76,f
DS,2023,3,30,lt,0:17:46,1066,2.2,m
DS,2023,3,30,lt,1:42:54,6174,3.24,m
DS,2023,3,30,lt,1:44:42,6282,3.39,f
DS,2023,3,30,lt,1:52:24,6744,3.34,m
DS,2023,3,30,lt,1:47:07,6427,2.06,f
DS,2023,3,30,lt,2:08:39,7719,4.42,f
DS,2023,3,30,lt,1:35:42,5742,2.22,f
DS,2023,3,30,lt,2:06:10,7570,3.15,f
DS,2023,3,30,lt,2:07:28,7648,3.67,m
DS,2023,3,30,lt,2:09:25,7765,5.56,f
DS,2023,3,30,vt,1:22:21,4941,3.86,f
DS,2023,3,30,vt,2:11:40,7900,4.78,f
DS,2023,3,30,vt,1:59:56,7196,2.95,f
DS,2023,3,30,vt,2:27:11,8831,3.64,f
DS,2023,3,30,vt,1:34:02,5642,3.13,m
DS,2023,3,30,vt,1:35:44,5744,2.91,f
DS,2023,3,30,vt,1:55:54,6954,5.56,f
DS,2023,3,30,vt,1:57:06,7026,2.53,m
DS,2023,3,30,vt,1:51:46,6706,2.72,m
DS,2023,3,30,vt,1:52:41,6761,2.95,f
DS,2023,3,30,vt,1:49:15,6555,3.11,m
DS,2023,3,30,vt,1:42:50,6170,2.73,m
DS,2023,3,30,vt,2:01:56,7316,5.08,f
DS,2023,3,30,vt,0:26:57,1617,3.25,m
DS,2023,3,30,vt,1:48:29,6509,3.45,f
DS,2023,3,7,vt,0:00:47,47,4.57,f
DS,2023,3,7,fc,0:07:35,455,4.26,f
DS,2023,3,7,lt,0:58:43,3523,3.58,f
DS,2023,3,7,fc,0:58:50,3530,2.66,f
DS,2023,3,7,vt,2:16:51,8211,2.56,m
DS,2023,3,7,lt,2:20:00,8400,3.5,f
DS,2023,3,7,lt,1:34:32,5672,2.91,m
DS,2023,3,7,fc,2:03:04,7384,2.26,f
DS,2023,3,7,lt,2:05:32,7532,2.73,f
DS,2023,3,7,vt,2:16:13,8173,2.16,m
DS,2023,3,7,fc,2:19:32,8372,3.53,m
DS,2023,3,7,vt,2:25:00,8700,3.86,f
DS,2023,3,7,vt,0:24:46,1486,2.55,m
DS,2023,3,7,vt,0:26:32,1592,2.09,u
DS,2023,3,7,lt,1:23:58,5038,2.44,f
DS,2023,3,7,fc,1:34:55,5695,2.09,m
DS,2023,3,7,lt,1:37:39,5859,2.05,m
DS,2023,3,7,fc,1:42:09,6129,2.13,f
DS,2023,3,7,vt,0:41:40,2500,4.45,m
DS,2023,3,7,vt,1:28:12,5292,4.21,f
DS,2023,3,7,fc,1:37:41,5861,3.7,m
DS,2023,3,7,lt,1:57:50,7070,2.94,m
DS,2023,3,7,vt-shed,1:58:13,7093,2.11,m
DS,2023,3,7,fc,2:09:07,7747,2.31,m
DS,2023,3,7,vt,0:20:46,1246,2.53,m
DS,2023,3,7,vt,0:24:58,1498,3.5,f
DS,2023,3,7,lt,1:25:49,5149,2.43,m
DS,2023,3,7,fc,2:21:18,8478,2.98,f
DS,2023,3,7,lt,2:22:02,8522,3.18,f
DS,2023,3,7,fc,2:29:11,8951,2.19,m
DS,2023,3,7,lt,0:41:38,2498,3.37,f
DS,2023,3,7,vt,0:54:12,3252,2.45,f
DS,2023,3,7,vt,1:55:34,6934,2.67,f
DS,2023,3,7,fc,2:22:23,8543,2.36,m
DS,2023,3,7,lt,2:24:08,8648,3.71,f
DS,2023,3,7,fc,2:32:04,9124,2.9,f
DS,2023,3,7,lt,1:32:47,5567,2.47,m
DS,2023,3,7,lt,1:55:45,6945,4.64,f
DS,2023,3,7,fc,1:57:24,7044,3.02,f
DS,2023,3,7,fc,2:24:08,8648,1.76,m
DS,2023,3,7,fc,2:26:01,8761,2.79,f
DS,2023,3,7,lt,2:27:35,8855,2.67,f
DS,2023,3,7,lt,2:11:33,7893,1.85,m
DS,2023,3,7,fc,2:21:47,8507,2.4,f
DS,2023,3,7,vt,2:23:07,8587,3.49,f
DS,2023,3,7,fc,2:23:44,8624,3.02,f
DS,2023,3,7,vt,2:25:36,8736,2.94,m
DS,2023,3,7,lt,2:29:03,8943,3.33,f
DS,2023,3,7,lt,1:17:45,4665,4.53,f
DS,2023,3,7,vt,1:22:22,4942,3.1,f
DS,2023,3,7,vt,2:07:27,7647,2.7,m
DS,2023,3,7,fc,2:09:14,7754,2.41,m
DS,2023,3,7,fc,2:09:48,7788,2.32,m
DS,2023,3,7,lt,2:14:22,8062,3.2,m
DS,2023,3,7,fc,1:27:15,5235,3.12,f
DS,2023,3,7,fc,1:34:51,5691,1.92,m
DS,2023,3,7,vt,1:35:26,5726,2.05,f
DS,2023,3,7,vt,1:35:50,5750,2.12,m
DS,2023,3,7,lt,1:38:00,5880,4.49,f
DS,2023,3,7,lt,2:03:10,7390,2.31,f
DS,2023,3,7,vt,0:06:14,374,2.05,m
DS,2023,3,7,lt,1:58:41,7121,2.63,f
DS,2023,3,7,vt,2:04:32,7472,2.58,f
DS,2023,3,7,lt,2:19:33,8373,2.83,f
DS,2023,3,7,fc,2:32:45,9165,2.45,m
DS,2023,3,7,fc,2:32:45,9165,2.27,m
DS,2023,3,7,fc,1:03:27,3807,1.52,m
DS,2023,3,7,vt,1:46:04,6364,2.88,f
DS,2023,3,7,lt,1:46:47,6407,2.04,m
DS,2023,3,7,vt,2:20:02,8402,2.97,m
DS,2023,3,7,fc,2:29:24,8964,2.6,m
DS,2023,3,7,vt,2:32:23,9143,4.15,u
DS,2023,3,7,vt,1:08:10,4090,3.78,f
DS,2023,3,7,lt,1:44:20,6260,2.62,m
DS,2023,3,7,fc,1:44:57,6297,1.99,f
DS,2023,3,7,vt,1:48:17,6497,3.51,u
DS,2023,3,7,lt,2:12:27,7947,3.67,f
DS,2023,3,7,fc,2:31:07,9067,2.49,m