Number,TagID_Hex,spp,Rel_group,TankID,TagDate,MortDate,ExptMort,Mort_Mass_g,Mort_FL_mm,Sex,ReproIndex,ReproNotes
171,05BB,DeltaSmelt,VT,AES-6,8/8/23,9/8/23,Euth,3.9,81,M,1,very small teste
260,HC29,DeltaSmelt,HC,AES-8,8/11/23,9/9/23,Natural,3.6,83,M,2,normal testes
172,FC29,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.3,76,M,2,
173,FC30,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,6.6,96,F,1,crusty eggs
174,FC31,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,76,F,0,
175,FC32,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,7.7,97,F,0,
176,FC33,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.4,81,M,2,
177,FC34,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4.9,87,F,4,inflamed vent likely due to spawning
178,FC35,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.1,79,M,2,
179,FC36,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,4,82,F,1,
180,FC37,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.5,82,M,2,
181,FC38,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.9,70,F,0,
182,FC39,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,72,M,2,
183,FC40,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.4,70,M,2,
184,FC41,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,3.2,78,M,1,
185,FC42,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,2.2,75,M,1,
186,FC43,DeltaSmelt,FC,AES-7,8/11/23,9/11/23,Euth,1.6,71,M,2,
187,HC30,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.2,75,M,2,
188,HC31,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.1,73,M,2,
189,HC32,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,88,F,1,
190,HC33,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,6.1,100,F,1,
191,HC34,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,77,M,2,
192,HC35,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,4.2,84,M,2,
193,HC36,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.9,80,M,,"very skinny, small teste, unsure if post spawn; either 1 or 4"
194,HC37,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5,82,F,1,
195,HC38,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.4,76,M,2,
196,HC39,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,5.1,88,F,1,
197,HC40,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.5,73,M,2,
198,HC41,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,3.3,77,M,2,fat
199,HC42,DeltaSmelt,HC,AES-8,8/11/23,9/11/23,Euth,2.4,73,F,0,
200,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,79,M,2,
201,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,88,F,1,
202,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.3,90,F,0,
203,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.8,85,M,2,
204,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.9,93,F,0,
205,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.5,80,F,0,
206,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.7,77,M,2,
207,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.2,77,M,2,
208,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,80,M,2,
209,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,5.4,92,F,2,
210,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,2.9,82,M,2,
211,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,83,M,1,
212,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,4.5,86,F,2,
213,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.4,79,M,2,
214,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,2.8,79,M,2,
215,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.3,80,M,2,
216,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,1.9,67,M,2,
217,NA,DeltaSmelt,LS,AES-9,8/11/23,9/11/23,Euth,3.8,83,F,0,
218,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,6.3,93,F,1,
219,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,7.2,96,F,2,
220,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.6,77,M,2,
221,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,5.2,90,F,4,"overripe eggs, eggs red and crispy; likely 4 but maybe no"
222,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.2,76,M,2,
223,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,2.7,70,M,2,
224,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.5,75,M,2,
225,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4.4,84,F,0,no egg development
226,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,2.5,72,M,2,
227,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,7.5,98,F,2,
228,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4.8,87,M,2,
229,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3,75,M,2,
230,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,4,85,F,1,few eggs
231,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.5,75,M,2,
232,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.1,77,M,2,
233,NA,DeltaSmelt,VS,AES-10,8/11/23,9/11/23,Euth,3.1,81,F,1,few eggs
234,34,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,6.1,89,F,3,
235,04EE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,2.6,72,M,2,
236,560,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.5,91,F,1,
237,03D2,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,77,M,2,
238,02DE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.8,83,F,3,
239,051E,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,75,M,2,
240,036C,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.3,88,F,1,
241,365,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.4,79,M,2,
242,321,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.9,82,M,2,
243,05D8,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,5.3,82,M,2,
244,00BC,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.2,76,M,2,
245,016F,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,6.4,94,F,2,
246,02C7,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.8,75,M,2,
247,00EE,DeltaSmelt,LT,AES-11,8/11/23,9/11/23,Euth,3.5,84,F,4,post spawn
248,Shed,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.4,77,M,2,
249,183,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,6.9,93,M,2,
250,Shed,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.1,84,M,2,
251,403,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.3,83,F,1,
252,776,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,7,96,F,3,
253,019A,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.2,79,F,3,
254,01A0,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,2.8,72,F,1,
255,06CB,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.3,81,F,1,
256,061C,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.8,80,F,0,
257,06F5,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,2.9,74,M,2,
258,258,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,4.2,86,F,1,
259,03CA,DeltaSmelt,VT,AES-12,8/11/23,9/11/23,Euth,3.3,75,M,2,
shed,51,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,160,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,01A1,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,01A8,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,035C,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,036E,DeltaSmelt,VT,AES-6,8/8/23,8/11/23,Shed,,,U,,
shed,551,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,U,,
shed,677,DeltaSmelt,VT,AES-6,8/8/23,8/12/23,Shed,,,U,,
shed,1E09,DeltaSmelt,VT,AES-12,8/11/23,8/12/23,Shed,,,U,,
shed,00C2,DeltaSmelt,VT,AES-6,8/8/23,8/21/23,Shed,,,U,,
shed,01CB,DeltaSmelt,VT,AES-12,8/11/23,8/27/23,Shed,,,U,,
shed,0E00,DeltaSmelt,VT,AES-12,8/11/23,8/31/23,Shed,,,U,,
burst,046F,DeltaSmelt,VT,AES-6,8/8/23,8/14/23,Burst,4.3,86,U,,
burst,07A9,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,4.9,89,U,,
burst,796,DeltaSmelt,VT,AES-6,8/8/23,8/14/23,Burst,3,80,U,,
burst,02AB,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,3,75,U,,
shed/burst,02D0,DeltaSmelt,VT,AES-6,8/8/23,8/15/23,Burst,,,U,,
shed/burst,049C,DeltaSmelt,VT,AES-6,8/8/23,8/15/23,Burst,,,U,,
burst,295,DeltaSmelt,LT,AES-5,8/8/23,8/16/23,Burst,3.1,80,U,,
burst,013D,DeltaSmelt,LT,AES-5,8/8/23,8/16/23,Burst,4,82,U,,
burst,038C,DeltaSmelt,LT,AES-11,8/11/23,8/19/23,Burst,5.5,88,U,,
burst,009A,DeltaSmelt,VT,AES-12,8/11/23,8/19/23,Burst,4.2,80,U,,
burst,219,DeltaSmelt,VT,AES-12,8/11/23,8/17/23,Burst,2.5,71,U,,
burst,392,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,3.2,71,U,,
burst,207,DeltaSmelt,VT,AES-12,8/11/23,8/17/23,Burst,5.7,90,U,,
burst,06FB,DeltaSmelt,LT,AES-11,8/11/23,8/18/23,Burst,3.9,81,U,,
burst,06D0,DeltaSmelt,VT,AES-12,8/11/23,8/19/23,Burst,3.9,80,U,,
burst,110,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,2.5,68,U,,
burst,00F1,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,2.6,73,U,,
burst,011B,DeltaSmelt,LT,AES-11,8/11/23,8/19/23,Burst,4.1,85,U,,
burst,03D3,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,1.8,68,U,,
burst,772,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,4.2,82,U,,
burst,249,DeltaSmelt,LT,AES-5,8/8/23,8/15/23,Burst,5,85,U,,
burst,01FD,DeltaSmelt,VT,AES-6,8/8/23,8/15/23,Burst,2.8,71,U,,
burst,01EA,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,2.4,71,U,,
burst,060E,DeltaSmelt,LT,AES-5,8/8/23,8/14/23,Burst,3.4,77,U,,
burst,799,DeltaSmelt,LT,AES-5,8/8/23,8/15/23,Burst,3.6,80,U,,
burst,247,DeltaSmelt,LT,AES-11,8/11/23,8/17/23,Burst,5.7,89,U,,
burst,03C4,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,3.1,80,U,,
burst,304,DeltaSmelt,VT,AES-12,8/11/23,8/19/23,Burst,6,91,U,,
burst,491,DeltaSmelt,LT,AES-11,8/11/23,8/18/23,Burst,4.1,81,U,,
burst,07A0,DeltaSmelt,VT,AES-12,8/11/23,8/18/23,Burst,2.9,75,U,,
burst,031D,DeltaSmelt,VT,AES-6,8/8/23,8/16/23,Burst,3.4,78,U,,
burst,02BE,DeltaSmelt,LT,AES-11,8/11/23,8/19/23,Burst,3.2,74,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/14/23,Burst,7.5,92,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/14/23,Burst,3.6,87,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,4.6,85,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,3,78,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/15/23,Burst,2.7,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.9,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.4,79,U,,
burst,,DeltaSmelt,VS,AES-4,8/8/23,8/16/23,Burst,2.5,75,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/17/23,Burst,6.3,93,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/17/23,Burst,3.4,71,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,4,84,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,3.7,83,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/18/23,Burst,4.4,85,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,3.7,77,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,4.3,82,U,,
burst,,DeltaSmelt,VS,AES-10,8/11/23,8/19/23,Burst,4,83,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,4.5,86,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,3,75,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/14/23,Burst,2.4,77,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/15/23,Burst,2.9,70,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/15/23,Burst,2.6,70,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,3.3,75,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,4.2,80,U,,
burst,,DeltaSmelt,LS,AES-3,8/8/23,8/16/23,Burst,4.3,84,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,3.6,80,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,5.4,81,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/17/23,Burst,4.6,81,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/18/23,Burst,4.4,87,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/18/23,Burst,7.4,94,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,2.7,74,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,3.5,74,U,,
burst,,DeltaSmelt,LS,AES-9,8/11/23,8/19/23,Burst,3.8,83,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,5,85,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,3.4,81,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/14/23,Burst,4.1,84,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,2.2,72,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,4.6,97,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/15/23,Burst,3.5,80,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Burst,3.2,80,U,,
burst,,DeltaSmelt,HC,AES-2,8/8/23,8/16/23,Burst,2.1,68,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,2.1,68,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,3.9,77,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/17/23,Burst,4.6,87,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/18/23,Burst,4.3,86,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,3.8,76,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/18/23,Burst,3.4,81,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,4.4,84,U,,
burst,,DeltaSmelt,HC,AES-8,8/11/23,8/19/23,Burst,3,76,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,2.9,74,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,4,82,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/14/23,Burst,3.2,77,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,3.3,82,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,2.6,71,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/15/23,Burst,5.5,102,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/16/23,Burst,2.9,74,U,,
burst,,DeltaSmelt,FC,AES-1,8/8/23,8/16/23,Burst,3.8,75,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,4,81,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,3.7,78,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/17/23,Burst,3.4,77,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,6.2,87,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,5.1,84,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/18/23,Burst,3.1,74,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Burst,4.1,84,U,,
burst,,DeltaSmelt,FC,AES-7,8/11/23,8/19/23,Burst,3.3,74,U,,