Fish#,Species,HatchDate,Source,ArrivalDate,f_status,Mort_date,TankID,Treat_group,Tag_date,Days_to_mort,ReasonMort,TagID_hex,ShedTag?,Mass_mort,FL_mort,Sex,ReproStatusNotes,IncNotes,TagPlaceNotes,GenAppNotes,OtherNotes,Photos?,PhotoFolder
1,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/22/23,8,LT,12/21/23,1,natural,0051,no,4.9,78,female,,,,,,no,NA
2,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/22/23,8,LT,12/21/23,1,natural,013F,no,3.14,75,male,,,,,,no,NA
3,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/22/23,8,LT,12/21/23,1,natural,016F,no,3,71,male,,,,,,no,NA
4,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/22/23,9,VT,12/21/23,1,natural,052F,no,1.91,66,female,,,,,,no,NA
5,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/22/23,7,FC,12/21/23,1,natural,NA,NA,2.18,70,male,,,,,,no,NA
6,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,9,VT,12/21/23,2,natural,002C,no,2.1,63,male,,,,,,no,NA
7,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,0037,no,2.4,71,male,,,,,,no,NA
8,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,00A8,no,2.47,69,male,,,,,,no,NA
9,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,00AB,no,1.99,65,male,,,,,,no,NA
10,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,00DC,no,4.53,79,female,,,,,,no,NA
11,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,9,VT,12/21/23,2,natural,01FD,no,2.62,70,male,,,,,,no,NA
12,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,3,VT,12/22/23,1,natural,027A,no,3.32,73,uknnown,,,,,,no,NA
13,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,02A3,no,3.78,79,female,,,,,,no,NA
14,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,02C7,no,2.5,70,male,,,,,,no,NA
15,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,8,LT,12/21/23,2,natural,033E,no,3.5,70,female,,,,,,no,NA
16,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,9,VT,12/21/23,2,natural,07A9,no,2.09,66,male,,,,,,no,NA
17,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,1,FC,12/21/23,2,natural,NA,NA,2.95,73,male,,,,,,no,NA
18,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/23/23,7,FC,12/21/23,2,natural,NA,NA,1.91,65,male,,,,,,no,NA
19,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,0034,no,3.46,75,male,,,,,,no,NA
20,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,9,VT,12/21/23,3,natural,00B7,no,2.48,69,male,,,,,,no,NA
21,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,2,LT,12/22/23,2,natural,0111,no,3.67,75,male,,,,,,no,NA
22,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,0155,no,2.76,69,male,,,,,,no,NA
23,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,2,LT,12/22/23,2,natural,0184,no,4.71,78,female,,,,,,no,NA
24,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,0194,no,2.09,68,male,,,,,,no,NA
25,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,01A8,no,5.18,83,female,,,,,,no,NA
26,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,0207,no,3.18,71,female,,,,,,no,NA
27,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,3,VT,12/22/23,2,natural,0285,no,1.95,66,male,,,,,,no,NA
28,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,2,LT,12/22/23,2,natural,02A2,no,4.88,7.8,female,,,,,,no,NA
29,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,9,VT,12/21/23,3,natural,02D0,no,2.81,70,male,,,,,,no,NA
30,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,02F2,no,3.16,77,male,,,,,,no,NA
31,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,9,VT,12/21/23,3,natural,0311,no,2.26,66,male,,,,,,no,NA
32,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,8,LT,12/21/23,3,natural,03C4,no,4.33,76,female,,,,,,no,NA
33,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,2,LT,12/22/23,2,natural,03D2,no,2.6,67,male,,,,,,no,NA
34,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,2,LT,12/22/23,2,natural,05D8,no,2.61,71,male,,,,,,no,NA
35,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,7,FC,12/21/23,3,natural,NA,NA,3.81,79,female,,,,,,no,NA
36,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,7,FC,12/21/23,3,natural,NA,NA,5.04,82,female,,,,,,no,NA
37,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,7,FC,12/21/23,3,natural,NA,NA,1.71,61,male,,,,,,no,NA
38,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,1,FC,12/22/23,2,natural,NA,NA,2.84,73,female,,,,,,no,NA
39,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/24/23,9,VT,12/21/23,3,natural,SHED,yes,3.7,79,female,,,,,,no,NA
40,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,8,LT,12/21/23,4,natural,0052,no,2.38,70,male,,,,,,no,NA
41,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,2,LT,12/22/23,3,natural,006F,no,3.28,74,male,,,,,,no,NA
42,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,2,LT,12/22/23,3,natural,0076,no,2.27,69,male,,,,,,no,NA
43,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,3,VT,12/22/23,3,natural,00BB,no,3,72,male,,,,,,no,NA
44,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,9,VT,12/21/23,4,natural,00F3,no,2.39,69,male,,,,,,no,NA
45,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,8,LT,12/21/23,4,natural,010D,no,2.45,66,male,,,,,,no,NA
46,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,3,VT,12/22/23,3,natural,0269,no,2.15,68,male,,,,,,no,NA
47,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,3,VT,12/22/23,3,natural,030D,no,2.49,70,male,,,,,,no,NA
48,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,8,LT,12/21/23,4,natural,03CF,on,2.8,72,male,,,,,,no,NA
49,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,9,VT,12/21/23,4,natural,06CE,no,3.45,77,male,,,,,,no,NA
50,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,2,LT,12/22/23,3,natural,0725,no,2.36,68,male,,,,,,no,NA
51,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,7,FC,12/21/23,4,natural,NA,NA,1.38,56,female,,,,,,no,NA
52,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/25/23,7,FC,12/21/23,4,natural,NA,NA,1.73,65,male,,,,,,no,NA
53,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,8,LT,12/21/23,5,natural,002A,no,3.28,73,female,,,,,,no,NA
54,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,009A,no,2.62,70,male,,,,,,no,NA
55,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,00A0,no,1.9,65,male,,,,,,no,NA
56,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,8,LT,12/21/23,5,natural,0110,no,4.83,81,female,,,,,,no,NA
57,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,012E,no,3.44,73,female,,,,,,no,NA
58,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,8,LT,12/21/23,5,natural,01E9,no,3.75,73,female,,,,,,no,NA
59,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,9,VT,12/21/23,5,natural,0200,no,2.57,69,male,,,,,,no,NA
60,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,0315,no,2.54,74,male,,,,,,no,NA
61,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,8,LT,12/21/23,5,natural,0340,no,3.78,80,male,,,,,,no,NA
62,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,9,VT,12/21/23,5,natural,0346,no,2.67,73,male,,,,,,no,NA
63,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,9,VT,12/21/23,5,natural,0371,on,4.68,80,female,,,,,,no,NA
64,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,3,VT,12/22/23,4,natural,03F2,no,2.06,68,male,,,,,,no,NA
65,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,0606,no,3.6,73,female,,,,,,no,NA
66,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,2,LT,12/22/23,4,natural,0680,no,2.2,69,male,,,,,,no,NA
67,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,8,LT,12/21/23,5,natural,06CB,no,2.26,69,male,,,,,,no,NA
68,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,1,FC,12/22/23,4,natural,NA,NA,4.02,78,female,,,,,,no,NA
69,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,5.29,83,female,,,,,,no,NA
70,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,3.35,71,female,,,,,,no,NA
71,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,5.02,78,female,,,,,,no,NA
72,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,5.68,84,female,,,,,,no,NA
73,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,2.45,67,male,,,,,,no,NA
74,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,3.05,73,male,,,,,,no,NA
75,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/26/23,7,FC,12/21/23,5,natural,NA,NA,1.97,65,male,,,,,,no,NA
76,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,0010,no,3.35,72,female,,,,,,no,NA
77,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,0013,no,3.76,75,female,,,,,,no,NA
78,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,2,LT,12/22/23,5,natural,0032,no,1.97,66,male,,,,,,no,NA
79,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,0069,no,3.51,73,female,,,,,,no,NA
80,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,2,LT,12/22/23,5,natural,00F1,no,2.88,73,male,,,,,,no,NA
81,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,01CB,no,4.63,80,female,,,,,,no,NA
82,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,0330,no,4.26,75,female,,,,,,no,NA
83,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,0612,no,2.77,71,male,,,,,,no,NA
84,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,06EE,no,3.53,72,female,,,,,,no,NA
85,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,8,LT,12/21/23,6,natural,1060,no,4.54,81,male,,,,,,no,NA
86,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,1,FC,12/22/23,5,natural,NA,NA,3.69,74,female,,,,,,no,NA
87,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,7,FC,12/21/23,6,natural,NA,NA,3.39,70,female,,,,,,no,NA
88,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/27/23,3,VT,12/22/23,5,natural,SHED,yes,3.53,70,female,,,,,,no,NA
89,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,2,LT,12/22/23,6,natural,0158,no,3.11,75,male,,,,,,no,NA
90,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,9,VT,12/21/23,7,natural,015C,no,2.46,70,male,,,,,,no,NA
91,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,2,LT,12/22/23,6,natural,0203,no,2.08,66,male,,,,,,no,NA
92,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,3,VT,12/22/23,6,natural,036F,no,3.7,72,male,,,,,,no,NA
93,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,8,LT,12/21/23,7,natural,051E,no,3.69,76,male,,,,,,no,NA
94,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,8,LT,12/21/23,7,natural,0677,no,2.78,75,male,,,,,,no,NA
95,DeltaSmelt,Jan-23,FCCL,11/28/23,f16,12/28/23,3,VT,12/22/23,6,natural,06FB,no,2.89,73,male,,,,,,no,NA
